Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	944.63	1.257385	0.869392	-9.893826	-0.043676	0.041545	-0.029827
D:	945.94	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	946.76	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	947.73	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	948.84	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	949.77	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	950.70	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	951.58	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	952.50	1.326841	0.780776	-10.102192	-0.045806	0.021305	0.007457
D:	953.40	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	954.31	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	955.22	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	956.16	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	957.06	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	958.02	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	958.95	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	959.84	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	960.76	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	961.63	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	962.71	1.295706	0.814307	-10.272239	-0.034088	-0.004261	0.026632
D:	963.80	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	964.73	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	965.66	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	966.58	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	967.47	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
D:	968.37	1.180745	0.890947	-10.025552	-0.014914	-0.021305	0.025566
